Title,Imdb,Runtime,Year,Director,Platform,Genre
Adú,6.196438356164386,1h 59min,2020,Salvador Calvo,Netflix,"Drama, Made in Europe"
Offline: Are You Ready for the Next Level?,5.1,1h 27min,2016,Florian Schnell,Netflix,"Comedy, Made in Europe"
Kalushi : The Story of Solomon Mahlangu,6.6,1h 47min,2017,Mandla Dube,Netflix,"Drama, Mystery & Thriller"
Just Short of Perfect,5.4,1h 34min,2021,Ale McHaddo,Netflix,"Comedy, Romance"
Triumph in the Skies,4.3,1h 40min,2015,Wilson Yip,Netflix,Drama
Mimi,7.9,2h 12min,2021,Laxman Utekar,Netflix,"Comedy, Drama"
Oprah Winfrey Presents: When They See Us Now,7.8,1h 1min,2019,Mark Ritchie,Netflix,Documentary
A Family Reunion Christmas,5.8,29min,2019,Robbie Countryman,Netflix,"Comedy, Kids & Family"
The Trial of the Chicago 7,7.7,2h 10min,2020,Aaron Sorkin,Netflix,"Drama, History, Mystery & Thriller"
Persuasion,5.8,1h 47min,2022,Carrie Cracknell,Netflix,"Comedy, Drama, Romance"
Cristela Alonzo: Middle Classy,6.9,1h 0min,2022,Page Hurwitz,Netflix,"Comedy, Documentary"
New Gods: Nezha Reborn,6.8,1h 56min,2021,Zhao Ji,Netflix,"Animation, Action & Adventure, Fantasy"
Victoria & Abdul,6.8,1h 52min,2017,Stephen Frears,Netflix,"Drama, Comedy, History"
Yara,6.2,1h 36min,2021,Marco Tullio Giordana,Netflix,"Drama, Crime, Mystery & Thriller"
Mehandi Circus,7.3,2h 15min,2019,Raju Saravanan,Netflix,Drama
The Grown-Ups,7.7,1h 22min,2017,Maite Alberdi,Netflix,Documentary
Outside In,6.7,1h 49min,2018,Lynn Shelton,Netflix,Drama
Carter,5.1,2h 12min,2022,Jung Byung-gil,Netflix,"Mystery & Thriller, Action & Adventure"
I'm Thinking of Ending Things,6.6,2h 14min,2020,Charlie Kaufman,Netflix,"Drama, Mystery & Thriller"
Angèle,7.0,1h 24min,2021,Brice VDH,Netflix,"Music & Musical, Documentary"
Michael Che: Shame the Devil,6.5,58min,2021,Kristian Mercado Figueroa,Netflix,Comedy
Prey,4.3,1h 27min,2021,Thomas Sieben,Netflix,"Mystery & Thriller, Drama"
Michael McIntyre: Showman,7.2,1h 2min,2020,Chris Howe,Netflix,Comedy
Passing,6.7,1h 38min,2021,Rebecca Hall,Netflix,"Drama, Mystery & Thriller"
Sex: Unzipped,3.1,59min,2021,Ben Turner,Netflix,"Comedy, Documentary"
Right Here Right Now,5.4,1h 30min,2018,Jakob Lass,Netflix,"Drama, Music & Musical, Comedy, Made in Europe"
Santana,3.9,1h 46min,2020,Maradona Dias Dos Santos,Netflix,"Action & Adventure, Crime, Drama"
The Land,6.2,1h 43min,2021,Veronica Andersson,Netflix,"Comedy, Drama"
Cook Off,6.0,1h 56min,2017,Tomas L. Brickhill,Netflix,"Comedy, Romance"
Malaal,5.9,2h 16min,2019,Mangesh Hadawale,Netflix,"Action & Adventure, Drama, Romance, Kids & Family"
A Shaun the Sheep Movie: Farmageddon,6.8,1h 27min,2019,Will Becher,Netflix,"Comedy, Fantasy, Science-Fiction, Animation, Kids & Family"
Dhamaka,7.1,1h 44min,2021,Ram Madhvani,Netflix,"Mystery & Thriller, Drama, Crime, Action & Adventure"
Struggle: The Life and Lost Art of Szukalski,7.9,1h 44min,2018,Irek Dobrowolski,Netflix,"Documentary, Made in Europe"
Carmen Sandiego: To Steal or Not to Steal,6.196438356164386,31min,2020,Jos Humphrey,Netflix,"Animation, Action & Adventure, Kids & Family"
The Magic School Bus Rides Again: Kids in Space,6.2,45min,2020,Richard Weston,Netflix,"Animation, Comedy, Kids & Family, Science-Fiction"
The River Runner,6.9,1h 26min,2021,Rush Sturges,Netflix,"Documentary, Action & Adventure"
Wasp Network,5.9,2h 8min,2020,Olivier Assayas,Netflix,"History, Mystery & Thriller, Drama, Crime"
Whitney Cummings: Can I Touch It?,6.5,59min,2019,Marcus Raboy,Netflix,Comedy
Joel Kim Booster: Psychosexual,5.9,1h 7min,2022,Doron Max Hagay,Netflix,"Comedy, Documentary"
Interceptor,4.6,1h 38min,2022,Matthew Reilly,Netflix,"Action & Adventure, Mystery & Thriller, Drama"
Malibu Rescue: The Next Wave,4.8,1h 10min,2020,Savage Steve Holland,Netflix,"Comedy, Kids & Family, Action & Adventure"
Hazel Brugger: Tropical,6.3,59min,2020,J. Patrick Arbeiter,Netflix,Comedy
"My Brother, My Sister",6.0,1h 50min,2021,Roberto Capucci,Netflix,Drama
The Breaker Upperers,5.9,1h 22min,2018,Madeleine Sami,Netflix,Comedy
The Champion of Auschwitz,6.7,1h 31min,2021,Maciej Barczewski,Netflix,"Drama, History, Sport"
Finding ʻOhana,6.1,2h 3min,2021,Jude Weng,Netflix,"Comedy, Kids & Family, Action & Adventure"
In Line,6.1,1h 55min,2017,Tope Oshin,Netflix,Drama
Baby Mamas,6.4,1h 38min,2018,Stephina Zwane,Netflix,"Drama, Comedy"
Mile 22,6.1,1h 35min,2018,Peter Berg,Netflix,"Mystery & Thriller, Action & Adventure"
Deep,4.9,1h 41min,2021,Jetarin Ratanaserikiat,Netflix,"Science-Fiction, Drama, Mystery & Thriller"
MILF,4.8,1h 36min,2018,Axelle Laffont,Netflix,"Comedy, Made in Europe"
The Package,5.6,1h 34min,2018,Teodora Ana Mihai,Netflix,"Comedy, Drama, Mystery & Thriller"
Prince of Peoria: A Christmas Moose Miracle,6.196438356164386,29min,2018,Jonathan A. Rosenbaum,Netflix,Comedy
Lulli,4.8,1h 30min,2021,César Rodrigues,Netflix,"Fantasy, Comedy, Romance"
Into the Wind,5.3,1h 48min,2022,Kristoffer Rus,Netflix,"Drama, Romance, Sport, Comedy"
Eye for an Eye,6.6,1h 47min,2019,Paco Plaza,Netflix,"Mystery & Thriller, Drama, Action & Adventure, Made in Europe"
No One Gets Out Alive,5.3,1h 25min,2021,Santiago Menghini,Netflix,"Horror, Mystery & Thriller, Drama"
Bright,6.3,1h 57min,2017,David Ayer,Netflix,"Mystery & Thriller, Crime, Action & Adventure, Fantasy, Science-Fiction"
Nate Bargatze: The Greatest Average American,7.3,1h 1min,2021,Troy Miller,Netflix,"Comedy, Documentary"
Racionais MC's: From the Streets of São Paulo,8.2,1h 56min,2022,Juliana Vicente,Netflix,"Music & Musical, Documentary"
River's Edge,6.2,1h 58min,2018,Isao Yukisada,Netflix,"Crime, Drama"
Reggie Watts: Spatial,6.0,1h 1min,2016,Benjamin Dickinson,Netflix,"Comedy, Music & Musical"
Army of the Dead,5.7,2h 28min,2021,Zack Snyder,Netflix,"Horror, Mystery & Thriller, Science-Fiction, War & Military, Action & Adventure, Crime, Drama"
Furtive,5.1,1h 24min,2020,Francisco D'Eufemia,Netflix,Mystery & Thriller
Mixtape,6.6,1h 34min,2021,Valerie Weiss,Netflix,"Comedy, Kids & Family, Romance, Drama"
Sanitation Day,3.2,1h 44min,2020,Seyi Babatope,Netflix,Mystery & Thriller
A Walk Among the Tombstones,6.5,1h 54min,2014,Scott Frank,Netflix,"Mystery & Thriller, Crime, Drama, Action & Adventure"
Killing Hasselhoff,4.5,1h 20min,2017,Darren Grant,Netflix,Comedy
Replicas,5.5,1h 47min,2018,Jeffrey Nachmanoff,Netflix,"Science-Fiction, Mystery & Thriller, Drama"
Jane Fonda & Lily Tomlin: Ladies Night Live,5.6,1h 0min,2022,Ryan Polito,Netflix,"Comedy, Documentary"
Making The Witcher,6.8,32min,2020,Nathan Wiley,Netflix,Documentary
Pup Star: World Tour,3.9,1h 27min,2018,Robert Vince,Netflix,"Comedy, Kids & Family"
Yoo Byung Jae: Too Much Information,5.5,1h 3min,2018,Yoo Byung-jae,Netflix,Comedy
The Last Letter from Your Lover,6.7,1h 50min,2021,Augustine Frizzell,Netflix,"Drama, Romance"
Loving Adults,6.5,1h 46min,2022,Barbara Topsøe-Rothenborg,Netflix,"Mystery & Thriller, Crime, Drama"
Irul,5.8,1h 31min,2021,Naseef Yusuf Izuddin,Netflix,Mystery & Thriller
CIA: Comrade In America,6.4,2h 14min,2017,Amal Neerad,Netflix,"Romance, Drama, Action & Adventure"
Fear Street: Part Two - 1978,6.7,1h 49min,2021,Leigh Janiak,Netflix,"Drama, Horror"
Da 5 Bloods,6.5,2h 34min,2020,Spike Lee,Netflix,"Drama, War & Military"
A Christmas Prince: The Royal Wedding,5.3,1h 32min,2018,John Schultz,Netflix,"Romance, Comedy, Drama"
The Lighthouse of the Orcas,6.7,1h 50min,2016,Gerardo Olivares,Netflix,"Drama, Romance, Made in Europe"
Seth Rogen's Hilarity for Charity,5.0,1h 10min,2018,Ryan Polito,Netflix,"Comedy, Documentary"
The Long Dumb Road,6.1,1h 30min,2018,Hannah Fidell,Netflix,Comedy
Taylor Tomlinson: Look at You,7.4,1h 0min,2022,Kristian Mercado Figueroa,Netflix,"Comedy, Documentary"
Spyder,6.3,2h 35min,2017,A.R. Murugadoss,Netflix,"Mystery & Thriller, Action & Adventure, Crime"
Love Aaj Kal,6.8,2h 21min,2020,Imtiaz Ali,Netflix,"Romance, Drama, Comedy"
Malcolm & Marie,6.6,1h 46min,2021,Sam Levinson,Netflix,"Drama, Romance"
The CEO,5.8,1h 45min,2016,Kunle Afolayan,Netflix,"Drama, Mystery & Thriller"
An Unremarkable Christmas,3.2,1h 23min,2020,Juan Camilo Pinzón,Netflix,"Comedy, Drama"
Kartini: Princess of Java,7.6,2h 2min,2017,Hanung Bramantyo,Netflix,"Drama, Kids & Family, History, Made in Europe"
The Lovebirds,6.1,1h 27min,2020,Michael Showalter,Netflix,"Comedy, Mystery & Thriller, Action & Adventure, Crime, Romance"
Ricky Gervais: SuperNature,7.8,1h 4min,2022,John L. Spencer,Netflix,Comedy
A California Christmas,5.8,1h 46min,2020,Shaun Paul Piccinino,Netflix,"Comedy, Drama, Romance"
Kodachrome,6.8,1h 45min,2017,Mark Raso,Netflix,"Drama, Comedy, Made in Europe"
The Harder They Fall,6.6,2h 19min,2021,Jeymes Samuel,Netflix,"Action & Adventure, Drama, Western"
Meskina,5.6,1h 38min,2021,Daria Bukvic,Netflix,Comedy
Shadow Parties,7.0,1h 56min,2021,Yemi Amodu,Netflix,"Action & Adventure, Mystery & Thriller"
Voiceless,7.1,2h 0min,2020,Robert Peters,Netflix,Mystery & Thriller
DNA,6.0,1h 30min,2020,Maïwenn,Netflix,"Drama, History"
Major,8.1,2h 29min,2022,Sashi Kiran Tikka,Netflix,"Drama, Action & Adventure, Mystery & Thriller"
Hating Peter Tatchell,7.6,1h 31min,2021,Christopher Amos,Netflix,Documentary
Kaatteri,4.3,2h 1min,2022,Deekay,Netflix,"Comedy, Horror"
Sam Smith: Love Goes – Live at Abbey Road Studios,6.196438356164386,1h 1min,2021,Paul Dugdale,Netflix,"Music & Musical, Documentary"
Motichoor Chaknachoor,5.8,2h 30min,2019,Debamitra Biswal,Netflix,"Comedy, Romance, Drama"
Bygones Be Bygones,6.2,1h 43min,2017,Hakan Algül,Netflix,Comedy
The Last Mercenary,5.3,1h 50min,2021,David Charhon,Netflix,"Action & Adventure, Comedy, Crime, Mystery & Thriller"
Get the Grift,5.3,1h 34min,2021,Pedro Antônio,Netflix,"Comedy, Crime"
Desperados,5.2,1h 45min,2020,LP,Netflix,"Comedy, Romance"
SAS: Red Notice,5.2,2h 4min,2021,Magnus Martens,Netflix,"Mystery & Thriller, Action & Adventure, Drama"
Holiday Rush,4.9,1h 33min,2019,Leslie Small,Netflix,"Drama, Comedy, Kids & Family, Romance"
Miss Granny,7.2,2h 4min,2014,Hwang Dong-hyuk,Netflix,"Drama, Comedy, Music & Musical, Fantasy"
Quincy,7.6,2h 4min,2018,Alan Hicks,Netflix,"Documentary, Music & Musical"
Collision Course,7.0,1h 20min,2022,Bolanle Austen-Peters,Netflix,"Drama, Action & Adventure"
Diana: The Musical,4.3,1h 57min,2021,Christopher Ashley,Netflix,Drama
Gad Gone Wild,6.9,57min,2017,Mario Rouleau,Netflix,"Comedy, Made in Europe"
The King,7.3,2h 20min,2019,David Michôd,Netflix,"Drama, History, Romance, War & Military"
Mandela,8.5,2h 20min,2021,Madonne Ashwin,Netflix,"Drama, Comedy"
Wish Dragon,7.2,1h 39min,2021,Chris Appelhans,Netflix,"Fantasy, Romance, Animation, Comedy, Kids & Family"
Set It Up,6.5,1h 45min,2018,Claire Scanlon,Netflix,"Comedy, Romance"
The Summit of the Gods,7.5,1h 35min,2021,Patrick Imbert,Netflix,"Mystery & Thriller, Animation, Sport, History, Drama"
Felipe Neto: My Life Makes No Sense,4.4,1h 30min,2017,Diego Pignataro,Netflix,"Comedy, Documentary"
A Twelve-Year Night,7.5,2h 2min,2018,Álvaro Brechner,Netflix,"Drama, Crime, History, Made in Europe"
The Witcher: Nightmare of the Wolf,7.2,1h 23min,2021,Han Kwang-il,Netflix,"Drama, Fantasy, Science-Fiction, Animation, Action & Adventure"
The Soul,6.6,2h 10min,2021,Cheng Wei-Hao,Netflix,"Science-Fiction, Mystery & Thriller, Drama"
Time Out,6.1,1h 38min,2015,Yannick Violin,Netflix,"Drama, Animation, Kids & Family, Music & Musical"
Badhaai Do,7.0,2h 27min,2022,Harshavardhan Kulkarni,Netflix,"Comedy, Drama, Crime, Romance"
Godzilla: Planet of the Monsters,6.0,1h 29min,2017,Kobun Shizuno,Netflix,"Science-Fiction, Animation, Action & Adventure"
CBI 5: The Brain,5.6,2h 43min,2022,K. Madhu,Netflix,"Mystery & Thriller, Crime"
Black Is Beltza,5.9,1h 28min,2018,Fermin Muguruza,Netflix,"Animation, Drama, Mystery & Thriller"
Roohi,4.3,2h 14min,2021,Hardik Mehta,Netflix,"Comedy, Horror"
The Unmarried Wife,6.1,2h 10min,2016,Maryo J. de los Reyes,Netflix,"Romance, Drama"
Holidate,6.1,1h 44min,2020,John Whitesell,Netflix,"Comedy, Romance"
Snoop Dogg's F*cn Around Comedy Special,5.2,1h 7min,2022,Ryan Polito,Netflix,"Comedy, Documentary"
One Night in Paris,4.4,1h 4min,2021,Mehdi Idir,Netflix,Comedy
African America,5.6,1h 36min,2021,Muzi Mthembu,Netflix,Drama
15 August,5.9,2h 4min,2019,Swapnaneel Jayakar,Netflix,"Romance, Comedy, Drama"
Procession,7.2,1h 58min,2021,Robert Greene,Netflix,Documentary
Code 8,6.1,1h 39min,2019,Jeff Chan,Netflix,"Science-Fiction, Action & Adventure, Crime, Mystery & Thriller, Drama"
Azali,5.7,1h 32min,2020,Kwabena Gyansah,Netflix,Drama
One-Way to Tomorrow,5.6,1h 30min,2020,Ozan Açıktan,Netflix,"Comedy, Drama, Romance"
Stretch Armstrong: The Breakout,6.196438356164386,45min,2018,Victor Cook,Netflix,Animation
Windfall,5.7,1h 32min,2022,Charlie McDowell,Netflix,"Mystery & Thriller, Crime, Drama"
Coffee for All,5.6,1h 9min,2017,Fulvio Iannucci,Netflix,"Documentary, Made in Europe"
The Larva Island Movie,5.1,1h 29min,2020,Ahn Byoung-wook,Netflix,"Animation, Comedy, Kids & Family"
Dry Martina,5.8,1h 35min,2018,Che Sandoval,Netflix,"Comedy, Drama"
Outside the Wire,5.4,1h 33min,2021,Mikael Håfström,Netflix,"Science-Fiction, Mystery & Thriller, Action & Adventure, Fantasy"
The Phantom,6.5,1h 21min,2021,Patrick Forbes,Netflix,"Documentary, Crime"
Judah Friedlander: America Is the Greatest Country in the United States,7.8,1h 24min,2017,Judah Friedlander,Netflix,"Comedy, Documentary"
An Easy Girl,5.6,1h 32min,2019,Rebecca Zlotowski,Netflix,"Comedy, Drama, Made in Europe"
Never Stop Dreaming: The Life and Legacy of Shimon Peres,6.9,2h 9min,2022,Richard Trank,Netflix,Documentary
Liss Pereira: Reteniendo Liquidos,6.2,59min,2019,Fernando Ayllón,Netflix,Comedy
The Warning,5.9,1h 32min,2018,Daniel Calparsoro,Netflix,"Mystery & Thriller, Drama, Fantasy, Action & Adventure, Horror, Crime, Made in Europe"
She's Dating the Gangster,7.0,1h 45min,2014,Cathy Garcia-Molina,Netflix,"Romance, Comedy, Drama"
Joe Rogan: Triggered,7.4,1h 3min,2016,Anthony Giordano,Netflix,"Comedy, Documentary"
Poster Boys,5.4,2h 8min,2017,Shreyas Talpade,Netflix,Comedy
Nasha Natasha,6.4,1h 23min,2020,Martín Sastre,Netflix,"Music & Musical, Documentary"
La Vocera,7.1,1h 22min,2021,Luciana Kaplan,Netflix,Documentary
'76,5.5,1h 58min,2016,Izu Ojukwu,Netflix,"Drama, Romance"
Ranveer vs Wild with Bear Grylls,6.6,1h 10min,2022,Khuzema Haveliwala,Netflix,"Action & Adventure, Kids & Family, Documentary"
Broken Idol: The Undoing of Diomedes Díaz,6.3,1h 42min,2022,Jaime Barbosa,Netflix,"Documentary, Crime"
For the Love of Spock,7.6,1h 51min,2016,Adam Nimoy,Netflix,Documentary
#FriendButMarried 2,6.9,1h 44min,2020,Rako Prijanto,Netflix,"Drama, Comedy, Romance"
Lommbock,6.7,1h 45min,2017,Christian Zübert,Netflix,"Comedy, Made in Europe"
True: Tricky Treat Day,6.196438356164386,23min,2019,Jamie Whitney,Netflix,"Animation, Kids & Family"
7 Women and a Murder,5.4,1h 22min,2021,Alessandro Genovesi,Netflix,"Comedy, Crime"
Been So Long,5.5,1h 40min,2018,Tinge Krishnan,Netflix,"Drama, Romance"
What Would Sophia Loren Do?,6.196438356164386,33min,2021,Ross Kauffman,Netflix,Documentary
Mutiny of the Worker Bees,4.1,1h 40min,2020,Carlos Morett,Netflix,Comedy
How It Ends,5.0,1h 53min,2018,David M. Rosenthal,Netflix,"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama, Horror"
Stand Out: An LGBTQ+ Celebration,6.1,1h 36min,2022,Linda Mendoza,Netflix,"Comedy, Documentary"
The Most Dangerous Man in Europe,6.7,1h 8min,2021,Pedro de Echave,Netflix,"History, Documentary, War & Military"
Bigflo & Oli: Hip Hop Frenzy,6.7,1h 40min,2020,Florian Ordonez,Netflix,"Music & Musical, Documentary"
The Boy,6.0,1h 37min,2016,William Brent Bell,Netflix,"Mystery & Thriller, Horror"
Who Am I,7.5,1h 45min,2014,Baran bo Odar,Netflix,"Mystery & Thriller, Made in Europe, Crime, Drama, Science-Fiction"
Amy Tan: Unintended Memoir,7.8,1h 41min,2021,James Redford,Netflix,Documentary
Mike Epps: Only One Mike,4.8,1h 3min,2019,Kevin Bray,Netflix,Comedy
Noise,6.5,1h 44min,2022,Natalia Beristáin,Netflix,Drama
The Forgotten Battle,7.1,2h 4min,2021,Matthijs van Heijningen Jr.,Netflix,"Drama, War & Military, History, Documentary, Made in Europe"
Panayotis Pascot: Almost,7.0,1h 19min,2022,Adib Alkhalidey,Netflix,"Comedy, Documentary"
The Outsider,6.2,2h 0min,2018,Martin Zandvliet,Netflix,"Drama, Action & Adventure, Crime, Mystery & Thriller"
The Awakening of Motti Wolkenbruch,6.6,1h 34min,2018,Michael Steiner,Netflix,"Comedy, Drama, Made in Europe"
Double Dad,5.6,1h 43min,2021,Cris D'amato,Netflix,"Drama, Comedy, Kids & Family"
Perú: Tesoro Escondido,6.1,1h 16min,2017,Luis Ara,Netflix,Documentary
Annaatthe,4.0,2h 43min,2021,Siva,Netflix,"Drama, Action & Adventure, Comedy"
Brad Paisley's Comedy Rodeo,5.7,1h 3min,2017,Jay Chapman,Netflix,Comedy
Lucas Brothers: On Drugs,5.8,49min,2017,Jay Chapman,Netflix,Comedy
See You Yesterday,5.2,1h 26min,2019,Stefon Bristol,Netflix,"Science-Fiction, Drama, Action & Adventure, Crime, Mystery & Thriller"
Get the Goat,6.0,1h 37min,2021,Vitor Brandt,Netflix,"Action & Adventure, Comedy, Crime"
Lethal Love,4.4,1h 27min,2021,Avi Federgreen,Netflix,Mystery & Thriller
Rich in Love,6.1,1h 44min,2020,Bruno Garotti,Netflix,"Comedy, Romance, Music & Musical"
What Happened to Mr Cha?,4.4,1h 42min,2021,Kim Dong-gyu,Netflix,"Comedy, Drama"
AK vs AK,6.9,1h 48min,2020,Vikramaditya Motwane,Netflix,"Action & Adventure, Drama, Mystery & Thriller, Comedy, Crime"
Dogwashers,5.8,1h 47min,2020,Carlos Moreno,Netflix,"Drama, Comedy, Crime"
D@bbe: The Possession,6.8,2h 14min,2013,Hasan Karacadag,Netflix,Horror
The Tinder Swindler,7.1,1h 54min,2022,Felicity Morris,Netflix,"Documentary, Crime"
Sam Jay: 3 in the Morning,6.5,1h 4min,2020,Kristian Mercado Figueroa,Netflix,Comedy
Amar,5.1,1h 44min,2017,Esteban Crespo,Netflix,"Romance, Drama, Made in Europe"
Ravenous,5.8,1h 43min,2017,Robin Aubert,Netflix,"Horror, Action & Adventure, Drama, Science-Fiction, Mystery & Thriller"
Mank,6.8,2h 11min,2020,David Fincher,Netflix,"Comedy, Drama"
Mister Mummy,2.1,1h 38min,2022,Shaad Ali,Netflix,"Comedy, Drama"
In the Shadow of the Moon,6.2,1h 55min,2019,Jim Mickle,Netflix,"Mystery & Thriller, Action & Adventure, Crime, Science-Fiction"
Here and There,6.6,1h 38min,2021,Jaime P. Habac Jr.,Netflix,"Romance, Drama"
All About Gila,4.2,1h 16min,2022,José Miguel Contreras,Netflix,Comedy
Meeting Point,4.2,1h 30min,2021,Umut Evirgen,Netflix,Drama
Pokémon the Movie: Secrets of the Jungle,6.4,1h 39min,2020,Tetsuo Yajima,Netflix,"Fantasy, Animation, Action & Adventure, Kids & Family"
Bo Burnham: Inside,8.7,1h 27min,2021,Bo Burnham,Netflix,"Drama, Comedy, Music & Musical, Reality TV"
Airplane Mode,5.1,1h 36min,2020,César Rodrigues,Netflix,"Comedy, Drama, Romance"
Catfight,5.9,1h 36min,2017,Onur Tukel,Netflix,"Comedy, Drama, Action & Adventure"
Burning Patience,5.9,1h 37min,2022,Rodrigo Sepúlveda,Netflix,"Drama, Romance"
The Prom,5.9,2h 10min,2020,Ryan Murphy,Netflix,"Comedy, Drama, Music & Musical"
Baggio: The Divine Ponytail,6.1,1h 31min,2021,Letizia Lamartire,Netflix,"Drama, Sport"
Nightbooks,5.8,1h 43min,2021,David Yarovesky,Netflix,"Kids & Family, Fantasy, Horror"
Sir,7.7,1h 39min,2018,Rohena Gera,Netflix,"Drama, Romance, Made in Europe"
Aiyaary,5.3,2h 37min,2018,Neeraj Pandey,Netflix,"Mystery & Thriller, Action & Adventure, Drama"
Something Huge,4.4,1h 26min,2017,Carlo Padial,Netflix,"Comedy, Made in Europe"
Dance Dreams: Hot Chocolate Nutcracker,7.1,1h 20min,2020,Oliver Bokelberg,Netflix,"Documentary, Kids & Family"
Swearnet: The Movie,6.0,1h 52min,2014,Warren P. Sonoda,Netflix,Comedy
Uyare,8.0,2h 5min,2019,Manu Ashokan,Netflix,Drama
"Chatô, The King of Brazil",6.0,1h 40min,2015,Guilherme Fontes,Netflix,"Drama, Comedy"
The Take,6.3,1h 32min,2016,James Watkins,Netflix,"Action & Adventure, Drama, Mystery & Thriller, Crime"
Maktub,7.2,1h 40min,2017,Oded Raz,Netflix,"Drama, Comedy"
Shadow and Bone - The Afterparty,6.196438356164386,32min,2021,Mairzee Almas,Netflix,"Action, Adventure, Drama, Fantasy, Mystery"
Leave No Trace,7.1,1h 50min,2018,Debra Granik,Netflix,Drama
Adhugo,6.0,1h 50min,2018,Ravi Babu,Netflix,Drama
The Water Man,5.5,1h 32min,2020,David Oyelowo,Netflix,"Action & Adventure, Mystery & Thriller, Drama, Kids & Family, Fantasy"
Love Is a Story,6.0,1h 47min,2015,Cristina Jacob,Netflix,"Comedy, Romance, Made in Europe"
Going for Gold,4.8,1h 29min,2018,Clay Glen,Netflix,"Drama, Kids & Family, Sport"
The Occupant,6.4,1h 43min,2020,David Pastor,Netflix,"Mystery & Thriller, Drama, Made in Europe, Horror"
An Evening with Beverly Luff Linn,5.8,1h 48min,2018,Jim Hosking,Netflix,"Comedy, Crime"
#AnneFrank. Parallel Stories,6.5,1h 32min,2019,Sabina Fedeli,Netflix,"Drama, History, Documentary"
Into the Beat,5.3,1h 42min,2020,Stefan Westerwelle,Netflix,"Romance, Drama, Music & Musical, Made in Europe"
Fear Street: 1666,6.196438356164386,1h 54min,2021,Leigh Janiak,Netflix,Horror
Fary Is the New Black,6.0,1h 14min,2018,Richard Valverde,Netflix,"Comedy, Made in Europe"
Surviving Paradise: A Family Tale,7.5,1h 18min,2022,Renée Godfrey,Netflix,Documentary
The Trip,6.9,1h 55min,2021,Tommy Wirkola,Netflix,"Horror, Comedy, Mystery & Thriller, Action & Adventure"
Teefa in Trouble,7.0,2h 35min,2018,Ahsan Rahim,Netflix,"Drama, Comedy, Action & Adventure, Crime, Romance"
A Perfect Pairing,6.1,1h 41min,2022,Stuart McDonald,Netflix,"Comedy, Romance"
The Cloverfield Paradox,5.5,1h 42min,2018,Julius Onah,Netflix,"Science-Fiction, Horror, Mystery & Thriller, Drama, Action & Adventure"
Secret Magic Control Agency,6.2,1h 45min,2021,Aleksey Tsitsilin,Netflix,"Fantasy, Animation, Comedy, Kids & Family"
Vicky and Her Mystery,6.3,1h 24min,2021,Denis Imbert,Netflix,"Action & Adventure, Kids & Family, Drama, Made in Europe"
Bulbul Can Sing,7.0,1h 35min,2019,Rima Das,Netflix,Drama
In Family I Trust,6.2,1h 36min,2019,Patricia Font,Netflix,"Comedy, Romance, Made in Europe"
Tootsies & The Fake,5.9,1h 48min,2019,Kittiphak Thongauam,Netflix,Comedy
Amsterdam to Anatolia,6.196438356164386,6min,2019,Susan Youssef,Netflix,"Mystery & Thriller, Drama"
Always Be My Maybe,6.8,1h 42min,2019,Nahnatchka Khan,Netflix,"Romance, Comedy"
We Couldn't Become Adults,6.5,2h 4min,2021,Yoshihiro Mori,Netflix,"Drama, Romance"
Bad Words,6.6,1h 28min,2013,Jason Bateman,Netflix,"Comedy, Drama"
El Pepe: A Supreme Life,7.1,1h 14min,2019,Emir Kusturica,Netflix,Documentary
Made You Look: A True Story About Fake Art,7.0,1h 34min,2020,Barry Avrich,Netflix,"Documentary, Crime"
Concrete Cowboy,6.3,1h 51min,2020,Ricky Staub,Netflix,"Western, Drama"
Franco Escamilla: Eavesdropping,6.6,2h 2min,2022,Claude Shires,Netflix,Comedy
The Swimmers,7.4,2h 14min,2022,Sally El Hosaini,Netflix,"Drama, History, Sport"
"Colin Quinn: Red State, Blue State",7.6,1h 5min,2019,Bobby Moresco,Netflix,Comedy
Kurup,7.0,2h 35min,2021,Srinath Rajendran,Netflix,"Mystery & Thriller, Crime"
Fate: The Winx Saga - The Afterparty,6.3,31min,2021,Joe Guidry,Netflix,"Comedy, Fantasy, Reality TV"
DreamWorks Home: For the Holidays,4.9,45min,2017,Blake Lemons,Netflix,"Comedy, Kids & Family, Fantasy, Science-Fiction, Animation"
D.O.D.: Day of Destiny,5.3,1h 50min,2021,Abosi Ogba,Netflix,"Science-Fiction, Comedy, Drama"
Revenge of the Pontianak,5.3,1h 32min,2019,Glen Goei,Netflix,"Horror, Romance"
Hypnotic,5.3,1h 28min,2021,Matt Angel,Netflix,"Mystery & Thriller, Drama, Horror"
The Bad Batch,5.2,1h 59min,2017,Ana Lily Amirpour,Netflix,"Horror, Drama, Romance, Science-Fiction, Action & Adventure"
Keeping the Bees,5.8,1h 33min,2019,Eylem Kaftan,Netflix,Drama
Jo Pil-ho: The Dawning Rage,6.3,2h 7min,2019,Lee Jeong-beom,Netflix,"Action & Adventure, Drama, Mystery & Thriller, Crime"
Seven Souls in the Skull Castle,7.4,2h 59min,2013,Hidenori Inoue,Netflix,"Drama, Action & Adventure, Romance"
Asakusa Kid,7.1,2h 3min,2021,Gekidan Hitori,Netflix,Drama
Under the Riccione Sun,5.6,1h 42min,2020,Niccolò Celaia,Netflix,"Comedy, Drama, Romance"
