Title,Imdb,Runtime,Year,Director,Platform,Genre
Re/Member,5.1,1h 43min,2022,Eiichiro Hasumi,Netflix,"Horror, Mystery & Thriller, Drama"
Debt Collectors,5.8,1h 37min,2020,Jesse V. Johnson,Netflix,"Comedy, Crime, Action & Adventure"
Operation Finale,6.6,2h 4min,2018,Chris Weitz,Netflix,"Mystery & Thriller, Drama, History, War & Military"
The Garage,5.7,1h 53min,2022,Erkan Kolçak Köstendil,Netflix,Comedy
The Bad Guys,6.8,1h 40min,2022,Pierre Perifel,Netflix,"Animation, Action & Adventure, Comedy, Crime, Kids & Family"
Forgotten,7.4,1h 49min,2017,Jang Hang-jun,Netflix,"Mystery & Thriller, Drama, Horror, Science-Fiction"
Lavender,5.4,1h 32min,2016,Ed Gass-Donnelly,Netflix,"Drama, Mystery & Thriller, Horror"
White Boy,7.2,1h 22min,2017,Shawn Rech,Netflix,"Documentary, Crime"
Peter Rabbit 2: The Runaway,6.2,1h 33min,2021,Will Gluck,Netflix,"Comedy, Action & Adventure, Kids & Family, Fantasy, Animation, Crime, Drama"
The Good Nurse,6.8,2h 1min,2022,Tobias Lindholm,Netflix,"Drama, Crime, Mystery & Thriller"
Paddington,7.3,1h 35min,2014,Paul King,Netflix,"Comedy, Kids & Family, Fantasy, Animation, Made in Europe"
Wendell & Wild,6.4,1h 47min,2022,Henry Selick,Netflix,"Comedy, Fantasy, Horror, Mystery & Thriller, Animation, Kids & Family"
Rush,8.1,2h 3min,2013,Ron Howard,Netflix,"Drama, Action & Adventure, Sport, Made in Europe"
Extraction,6.7,1h 56min,2020,Sam Hargrave,Netflix,"Mystery & Thriller, Crime, Drama, Action & Adventure"
Stutz,7.8,1h 36min,2022,Jonah Hill,Netflix,Documentary
The Vault,6.4,1h 58min,2021,Jaume Balagueró,Netflix,"Action & Adventure, Mystery & Thriller, Crime, Fantasy"
The School for Good and Evil,5.8,2h 27min,2022,Paul Feig,Netflix,"Fantasy, Action & Adventure, Comedy, Drama"
Triple Frontier,6.4,2h 5min,2019,J.C. Chandor,Netflix,"Action & Adventure, Mystery & Thriller, Crime, Drama"
Hustle,7.3,1h 57min,2022,Jeremiah Zagar,Netflix,"Comedy, Drama, Sport"
The Game Changers,7.8,1h 28min,2019,Louie Psihoyos,Netflix,Documentary
"BARDO, False Chronicle of a Handful of Truths",6.7,2h 40min,2022,Alejandro González Iñárritu,Netflix,"Comedy, Drama"
Ittefaq,7.2,1h 47min,2017,Abhay Chopra,Netflix,"Mystery & Thriller, Crime"
Outlaw King,6.9,2h 17min,2018,David Mackenzie,Netflix,"Drama, Action & Adventure, History, War & Military"
The Debt Collector,5.8,1h 30min,2018,Jesse V. Johnson,Netflix,"Action & Adventure, Comedy"
Kick-Ass 2,6.5,1h 43min,2013,Jeff Wadlow,Netflix,"Action & Adventure, Comedy, Crime, Mystery & Thriller"
Luckiest Girl Alive,6.4,1h 53min,2022,Mike Barker,Netflix,"Drama, Mystery & Thriller"
An Inconvenient Love,6.196438356164386,2h 4min,2022,Petersen Vargas,Netflix,Comedy
Human Capital,5.7,1h 38min,2020,Marc Meyers,Netflix,"Crime, Drama"
47 Meters Down: Uncaged,5.0,1h 30min,2019,Johannes Roberts,Netflix,"Horror, Drama, Mystery & Thriller"
The Giver,6.4,1h 37min,2014,Phillip Noyce,Netflix,"Drama, Science-Fiction, Romance, Mystery & Thriller"
The Rental,5.7,1h 28min,2020,Dave Franco,Netflix,"Mystery & Thriller, Drama, Horror"
Where Hands Touch,6.5,2h 2min,2018,Amma Asante,Netflix,"War & Military, Drama, Romance"
Recurrence,4.4,1h 56min,2022,Alejandro Montiel,Netflix,"Crime, Mystery & Thriller, Drama"
The Martha Mitchell Effect,6.196438356164386,40min,2022,Anne Alvergue,Netflix,Documentary
Untold: Operation Flagrant Foul,6.8,1h 17min,2022,David Terry Fine,Netflix,"Documentary, Crime, History, Sport"
R.I.P.D. 2: Rise of the Damned,4.5,1h 42min,2022,Paul Leyden,Netflix,"Comedy, Western, Action & Adventure, Fantasy, Science-Fiction"
The Big 4,6.1,2h 21min,2022,Timo Tjahjanto,Netflix,"Action & Adventure, Comedy, Crime"
Running with the Devil: The Wild World of John McAfee,5.9,1h 45min,2022,Charlie Russell,Netflix,"Documentary, Crime"
Blade of the 47 Ronin,4.7,1h 47min,2022,Ron Yuan,Netflix,"Action & Adventure, Drama, Fantasy, Mystery & Thriller"
The Wretched,5.8,1h 35min,2020,Drew T. Pierce,Netflix,"Horror, Mystery & Thriller"
